Country,Country code,Continent,Region,MPW Scenario A 2020 (kg y-1),MPW Scenario A 2040 (kg y-1),MPW Scenario A 2060 (kg y-1),MPW Scenario B 2020 (kg y-1),MPW Scenario B 2040 (kg y-1),MPW Scenario B 2060 (kg y-1),MPW Scenario C 2020 (kg y-1),MPW Scenario C 2040 (kg y-1),MPW Scenario C 2060 (kg y-1),,,,
Liberia,430,Africa,Western Africa,4.93E+07,9.78E+07,1.62E+08,4.90E+07,9.38E+07,1.48E+08,4.41E+07,4.21E+07,6.65E+07,,,,
Libya,434,Africa,Northern Africa,3.70E+08,4.97E+08,5.83E+08,2.16E+08,1.67E+07,1.96E+07,1.32E+08,2.60E+06,3.05E+06,,,,
Lithuania,440,Europe,Northern Europe,1.13E+07,1.28E+07,1.36E+07,2.16E+06,2.44E+06,2.60E+06,1.08E+06,6.76E+05,7.22E+05,,,,
Luxembourg,442,Europe,Western Europe,8.48E+05,1.12E+06,1.39E+06,8.48E+05,1.12E+06,1.39E+06,3.89E+05,2.57E+05,3.19E+05,,,,
Madagascar,450,Africa,Eastern Africa,3.15E+07,6.65E+07,1.17E+08,3.12E+07,6.21E+07,1.01E+08,3.07E+07,6.13E+07,9.95E+07,,,,
Malawi,454,Africa,Eastern Africa,1.43E+08,2.91E+08,5.08E+08,1.42E+08,2.76E+08,4.54E+08,1.39E+08,2.70E+08,4.44E+08,,,,
Malaysia,458,Asia,South-Eastern Asia,1.31E+09,2.00E+09,2.58E+09,9.56E+08,4.70E+07,6.08E+07,6.72E+08,8.41E+06,1.08E+07,,,,
Mali,466,Africa,Western Africa,4.76E+08,9.79E+08,1.73E+09,4.69E+08,8.82E+08,1.36E+09,4.26E+08,4.01E+08,6.17E+08,,,,
Malta,470,Europe,Southern Europe,3.69E+06,4.42E+06,4.80E+06,5.68E+05,6.80E+05,7.38E+05,2.27E+05,1.36E+05,1.48E+05,,,,
Marshall Islands,584,Oceania,Micronesia,4.49E+04,6.60E+04,8.66E+04,4.44E+04,5.78E+04,6.26E+04,4.03E+04,2.62E+04,2.83E+04,,,,
Mauritania,478,Africa,Western Africa,2.45E+07,5.46E+07,9.57E+07,2.35E+07,3.70E+07,2.87E+07,2.13E+07,1.67E+07,1.28E+07,,,,
Mauritius,480,Africa,Eastern Africa,6.76E+05,8.54E+05,9.30E+05,6.76E+05,8.54E+05,9.30E+05,3.38E+05,2.37E+05,2.59E+05,,,,
Mexico,484,Latin America and Caribbean,Central America,7.72E+08,1.08E+09,1.37E+09,4.86E+08,7.10E+07,9.04E+07,4.79E+08,2.91E+07,3.70E+07,,,,
Micronesia (Fed. States of),583,Oceania,Micronesia,6.30E+05,9.22E+05,1.16E+06,6.21E+05,8.08E+05,8.47E+05,5.64E+05,3.67E+05,3.83E+05,,,,
Mongolia,496,Asia,Eastern Asia,4.77E+07,7.45E+07,1.01E+08,4.15E+07,9.96E+06,3.06E+06,3.76E+07,4.23E+06,7.00E+05,,,,
Morocco,504,Africa,Northern Africa,3.99E+08,6.20E+08,8.06E+08,3.52E+08,2.05E+08,2.60E+07,3.48E+08,9.98E+07,6.49E+06,,,,
Mozambique,508,Africa,Eastern Africa,5.35E+08,1.05E+09,1.80E+09,5.29E+08,9.85E+08,1.57E+09,5.19E+08,4.84E+08,7.70E+08,,,,
Myanmar,104,Asia,South-Eastern Asia,1.41E+09,2.24E+09,2.83E+09,1.28E+09,1.37E+09,6.83E+08,7.09E+08,3.80E+08,1.84E+08,,,,
